CONYR,RESYR,PCI_2,CRACK_INDX,IRI,AADT,TRUCKS,years_since_repair
1935.0,1995.0,48.0,62.0,163.81,2305.0,399.0,30.0
1967.0,0.0,52.0,79.0,152.86,2443.0,399.0,58.0
1956.0,2011.0,45.0,50.0,205.78,3842.0,437.0,14.0
1940.0,2000.0,54.0,47.0,108.77,1855.0,293.0,25.0
1936.0,2000.0,61.0,59.0,99.29,1800.0,293.0,25.0
1936.0,2000.0,62.0,59.0,95.7,1897.0,293.0,25.0
1932.0,2000.0,66.0,73.0,105.38,2187.0,293.0,25.0
1933.0,1992.0,51.0,60.0,140.73,2380.0,293.0,33.0
1933.0,1992.0,55.0,53.0,125.53,2396.0,293.0,33.0
2023.0,0.0,87.0,100.0,101.14,2800.0,293.0,2.0
2009.0,0.0,84.0,98.0,92.54,3040.0,293.0,16.0
2023.0,0.0,87.0,100.0,101.14,2440.0,139.0,2.0
1936.0,2006.0,35.0,56.0,284.43,1925.0,139.0,19.0
1936.0,2006.0,36.0,53.0,254.56,1573.0,139.0,19.0
1937.0,1958.0,43.0,49.0,199.54,1460.0,139.0,67.0
1937.0,1958.0,49.0,53.0,181.98,977.0,140.0,67.0
1952.0,2018.0,91.0,98.0,54.61,1677.0,235.0,7.0
1982.0,2018.0,86.0,85.0,66.52,1960.0,235.0,7.0
1949.0,2016.0,77.0,70.0,74.52,2120.0,235.0,9.0
1949.0,2016.0,83.0,88.0,67.61,2120.0,235.0,9.0
1949.0,2016.0,86.0,90.0,64.22,2500.0,235.0,9.0
1949.0,2020.0,89.0,92.0,61.16,6190.0,322.0,5.0
1952.0,2020.0,82.0,84.0,83.77,8533.0,351.0,5.0
1956.0,2020.0,82.0,93.0,96.09,8633.0,470.0,5.0
1957.0,2021.0,89.0,96.0,72.78,7900.0,529.0,4.0
1957.0,2021.0,92.0,99.0,52.58,5730.0,529.0,4.0
1975.0,2021.0,94.0,100.0,45.09,4035.0,528.0,4.0
1975.0,2021.0,96.0,100.0,36.35,3780.0,609.0,4.0
1975.0,2021.0,95.0,99.0,41.53,5647.0,733.0,4.0
1975.0,2000.0,67.0,93.0,180.2,7700.0,784.0,25.0
1995.0,0.0,60.0,78.0,157.25,8400.0,834.0,30.0
1939.0,2022.0,78.0,94.0,120.16,6250.0,834.0,3.0
1938.0,2017.0,68.0,76.0,124.89,7000.0,190.0,8.0
1927.0,2011.0,62.0,74.0,152.51,7850.0,183.0,14.0
